county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
clear-creek,CO,0.405,0.0,2.946,26655,20682.173
conejos,CO,0.468,0.0,1.385,8941,193.3
costilla,CO,0.063,0.0,1.696,64625,993.917
crowley,CO,0.576,0.0,1.302,2853,993.099
custer,CO,0.353,0.0,1.278,9504,185.473
delta,CO,0.756,0.211,1.254,18957,16591.3
denver,CO,0.789,0.998,1.106,236824,29.487
dolores,CO,,0.0,1.709,4494,34877.746
douglas,CO,0.892,0.841,1.214,158692,263.065
eagle,CO,0.382,0.796,1.281,41046,5136.57
el-paso,CO,0.803,0.868,1.124,271792,86.269
elbert,CO,0.78,0.0,1.329,16993,354.446
fremont,CO,0.659,0.398,1.237,28648,2692.231
garfield,CO,0.645,0.579,1.211,28088,6734.748
gilpin,CO,0.324,0.0,1.631,9804,16200.246
grand,CO,0.209,0.459,1.335,27822,10163.666
gunnison,CO,0.368,0.172,1.352,21104,38059.893
hinsdale,CO,0.24,0.0,1.387,2353,44.022
huerfano,CO,0.298,0.0,1.495,17276,415.385
jackson,CO,0.224,0.0,1.309,2997,1903.33
jefferson,CO,0.721,0.879,1.153,257136,46.243
kiowa,CO,0.0,0.0,1.977,4176,3240.053
kit-carson,CO,0.644,0.0,1.721,9771,930.712
la-plata,CO,0.63,0.273,1.304,35345,1554.472
lake,CO,0.389,0.379,1.528,10352,410.301
larimer,CO,0.752,0.814,1.24,178928,4813.927
las-animas,CO,0.45,0.305,1.37,18068,1565.116
lincoln,CO,0.105,0.0,1.163,8597,869.775
logan,CO,0.73,0.482,1.283,12262,633.964
mesa,CO,0.759,0.831,1.169,78120,6315.517
mineral,CO,0.253,0.0,1.653,3586,229.473
moffat,CO,0.53,0.44,1.261,10515,7524.524
montezuma,CO,0.704,0.264,1.25,15332,144.436
montrose,CO,0.627,0.495,1.285,29181,506.191
morgan,CO,0.787,0.517,1.395,15988,588.839
otero,CO,0.731,0.338,1.437,13242,3118.807
ouray,CO,0.396,0.0,1.557,8359,3961.93
park,CO,0.204,0.0,1.264,42330,208.553
phillips,CO,0.698,0.0,1.341,4507,263.719
pitkin,CO,0.378,0.66,1.36,19135,170.093
prowers,CO,0.683,0.452,1.473,9785,967.305
pueblo,CO,0.632,0.674,1.241,101092,578.771
rio-blanco,CO,0.69,0.0,1.339,5126,12710.01
rio-grande,CO,0.471,0.0,1.387,12967,959.814
routt,CO,0.322,0.543,1.334,25667,2434.591
saguache,CO,0.306,0.0,1.562,14570,5062.43
san-juan,CO,0.205,0.0,3.504,7116,58.462
san-miguel,CO,0.333,0.554,1.383,10688,2150.534
sedgwick,CO,0.551,0.0,1.412,3149,478.455
summit,CO,0.344,0.788,1.275,23510,4713.174
teller,CO,0.449,0.216,1.528,31330,1142.935
washington,CO,0.483,0.0,1.368,6445,779.353
weld,CO,0.519,0.697,1.252,239252,300.75
yuma,CO,0.669,0.0,1.762,11884,1102.423
hawaii,HI,0.406,0.221,1.217,134495,1522.763
honolulu,HI,0.665,0.983,1.176,319306,209.734
kalawao,HI,0.0,0.0,2.167,13,10124.068
kauai,HI,0.0,0.513,1.208,30467,936.545
maui,HI,0.518,0.752,1.418,80987,1858.958
ada,ID,0.809,0.907,1.206,214748,3112.702
adams,ID,0.367,0.0,1.427,7737,762.548
bannock,ID,0.714,0.702,1.356,45412,104.267
bear-lake,ID,0.358,0.0,1.597,12414,317.6
benewah,ID,0.562,0.0,1.738,11402,2024.04
bingham,ID,0.619,0.269,1.51,37060,168.93
blaine,ID,0.444,0.699,1.417,24079,214674.785
boise,ID,0.381,0.0,1.453,13366,11169.122
bonner,ID,0.537,0.188,1.378,45049,13420.641
bonneville,ID,0.747,0.766,1.362,61405,16993.037
boundary,ID,0.69,0.0,1.578,10726,8670.414
butte,ID,0.335,0.0,1.429,5442,1037.652
camas,ID,0.343,0.0,2.684,4608,682223.911
canyon,ID,,0.75,1.184,102606,29.351
caribou,ID,0.0,0.0,1.757,8975,64712.56
cassia,ID,0.627,0.324,1.669,20275,754.969
clark,ID,0.292,0.0,3.174,4370,94690.891
clearwater,ID,0.631,0.0,2.169,11442,106804.207
custer,ID,0.512,0.0,1.63,6604,76511.444
elmore,ID,0.713,0.514,1.837,21201,443225.973
franklin,ID,0.714,0.0,1.549,10959,247.385
fremont,ID,0.403,0.0,1.783,22394,40614.253
gem,ID,0.766,0.45,1.322,11686,5725.688
gooding,ID,0.773,0.0,1.629,10060,52403.982
idaho,ID,0.621,0.0,1.687,19187,752.58
jefferson,ID,0.827,0.266,1.527,17430,3450.346
jerome,ID,0.805,0.45,1.986,17230,1212.829
kootenai,ID,0.706,0.63,1.244,91489,1185.642
latah,ID,0.0,0.394,1.386,20851,1424.819
lemhi,ID,0.413,0.0,1.851,15869,292067.441
lewis,ID,0.544,0.0,1.858,5212,576.051
lincoln,ID,0.586,0.0,1.447,4908,644.525
madison,ID,0.747,0.501,1.624,16704,5287.385
minidoka,ID,0.779,0.48,1.473,13097,15903.548
nez-perce,ID,0.808,0.714,1.532,25476,893.36
oneida,ID,0.372,0.0,1.785,10560,521.999
owyhee,ID,0.44,0.0,1.597,14438,14007.086
payette,ID,0.802,0.535,1.326,13651,3451.837
power,ID,0.009,0.0,2.039,7543,27004.942
shoshone,ID,0.574,0.0,1.963,16003,211272.068
teton,ID,0.377,0.0,1.537,15474,9041.141
twin-falls,ID,0.796,0.601,1.374,45099,14160.549
valley,ID,0.273,0.272,1.362,25306,363.137
washington,ID,0.548,0.38,2.042,10974,70146.769
beaverhead,MT,0.594,0.297,2.662,16090,166286.552
big-horn,MT,0.496,0.0,3.22,14997,223864.056
blaine,MT,0.516,0.0,3.555,12993,60599.145
broadwater,MT,0.646,0.0,1.627,7650,14165.173
carbon,MT,0.499,0.0,1.751,14941,44478.569
carter,MT,0.365,0.0,4.243,8011,14754.45
cascade,MT,0.724,0.66,1.297,44203,6902.109
chouteau,MT,0.507,0.0,2.772,14225,4303.572
custer,MT,0.733,0.606,1.986,11961,9566.003
daniels,MT,0.524,0.0,2.433,5822,11921.334
dawson,MT,0.695,0.5,1.672,9047,2037.786
deer-lodge,MT,0.679,0.575,1.409,7662,72697.28
fallon,MT,0.597,0.0,2.009,4723,2604.924
fergus,MT,0.632,0.321,2.522,20849,11396.478
flathead,MT,0.508,0.347,1.246,85351,1481.838
gallatin,MT,0.689,0.498,1.288,52896,14439.897
garfield,MT,0.292,0.0,4.253,9263,38888.115
glacier,MT,0.588,0.0,2.964,13205,276286.619
golden-valley,MT,0.434,0.0,2.783,2591,15278.136
granite,MT,0.373,0.0,2.055,7669,291849.55
hill,MT,0.698,0.437,1.846,14317,2128.942
jefferson,MT,0.643,0.0,1.748,13217,50368.379
judith-basin,MT,0.474,0.0,2.992,7261,62233.001
lake,MT,0.572,0.166,1.464,23604,23714.806
lewis-and-clark,MT,0.706,0.568,1.343,40015,64461.135
liberty,MT,0.524,0.0,2.687,4783,2363.509
lincoln,MT,0.607,0.134,1.61,23256,201747.179
madison,MT,0.402,0.0,1.978,19091,35388.024
mccone,MT,0.439,0.0,2.793,6730,5458.791
meagher,MT,0.419,0.0,2.804,6126,79287.065
mineral,MT,0.56,0.0,1.792,5701,237886.866
missoula,MT,0.7,0.652,1.27,54002,20968.58
musselshell,MT,0.589,0.0,2.062,8025,5708.11
park,MT,0.62,0.388,1.612,15779,122047.703
petroleum,MT,0.352,0.0,4.331,4513,49352.213
phillips,MT,0.488,0.0,3.317,14694,85569.087
pondera,MT,0.613,0.0,2.214,8797,71289.018
powder-river,MT,0.432,0.0,3.744,7203,34473.363
powell,MT,0.559,0.0,2.1,8190,188692.363
prairie,MT,0.499,0.0,2.677,3769,39332.63
ravalli,MT,0.741,0.128,1.452,30900,156135.928
richland,MT,0.689,0.387,1.802,11087,949.039
roosevelt,MT,0.524,0.0,2.14,12250,22954.725
rosebud,MT,0.529,0.0,2.705,11113,35418.124
sanders,MT,0.561,0.0,1.719,15558,103775.022
sheridan,MT,0.472,0.0,1.952,8283,1361.488
silver-bow,MT,0.754,0.775,1.382,22952,12650.616
stillwater,MT,0.591,0.0,1.703,10569,43950.086
sweet-grass,MT,0.596,0.0,2.196,5453,108650.149
teton,MT,0.604,0.0,2.198,11034,63206.239
toole,MT,0.495,0.0,2.312,9580,1759.082
treasure,MT,0.421,0.0,2.643,2157,13787.478
valley,MT,0.501,0.0,2.658,18065,111080.707
wheatland,MT,0.5,0.0,2.377,4205,26977.573
wibaux,MT,0.521,0.0,2.092,2234,4917.754
yellowstone,MT,0.775,0.773,1.262,82893,758.64
bernalillo,NM,0.784,0.926,1.12,255411,265.295
catron,NM,0.072,0.0,2.117,6592,164462.309
chaves,NM,0.673,0.659,1.296,35795,4586.244
cibola,NM,0.4,0.328,1.713,22778,4973.51
colfax,NM,0.211,0.156,1.193,25217,3479.22
curry,NM,0.789,0.771,1.342,26016,440.927
de-baca,NM,0.0,0.0,1.731,4123,2395.805
dona-ana,NM,0.679,0.712,1.217,94049,21487.887
eddy,NM,0.517,0.644,1.803,53324,24702.84
grant,NM,0.246,0.385,1.334,44772,1767.943
guadalupe,NM,0.36,0.0,1.42,4709,3199.078
harding,NM,0.355,0.0,1.149,1073,2186.128
hidalgo,NM,0.358,0.0,1.14,5240,925.412
lea,NM,0.627,0.574,1.379,43930,777.632
lincoln,NM,0.194,0.384,1.156,38607,98.86
los-alamos,NM,0.92,0.917,1.126,8555,115.683
luna,NM,0.175,0.122,2.121,115292,190.488
mckinley,NM,0.521,0.53,1.385,14879,16327.615
mora,NM,0.135,0.0,1.173,1063,4072.939
otero,NM,0.524,0.344,1.339,50351,3313.59
quay,NM,0.184,0.351,1.101,15560,405.341
rio-arriba,NM,0.273,0.194,1.338,36702,830.913
roosevelt,NM,0.71,0.47,1.627,14579,2821.277
san-juan,NM,0.702,0.674,1.303,44486,2116.707
san-miguel,NM,0.397,0.236,1.278,29513,415.858
sandoval,NM,0.469,0.475,1.465,151100,737.515
santa-fe,NM,0.626,0.594,1.226,89069,134.142
sierra,NM,0.339,0.492,1.422,15852,2771.401
socorro,NM,0.198,0.119,1.792,43202,10852.213
taos,NM,0.234,0.191,1.676,66461,971.502
torrance,NM,0.274,0.0,1.365,29121,351.758
union,NM,0.098,0.0,1.083,12397,912.412
valencia,NM,0.219,0.172,1.616,199007,325.183
carson-city,NV,0.734,0.938,1.154,21250,612.436
churchill,NV,0.739,0.58,1.377,14112,2112217.901
clark,NV,0.551,0.961,1.101,933033,10166.754
douglas,NV,0.668,0.61,1.229,30501,1954.387
elko,NV,0.482,0.194,1.337,45237,164414.722
esmeralda,NV,0.252,0.0,1.434,2868,1120507.981
eureka,NV,0.291,0.0,1.651,4562,4515511.799
humboldt,NV,0.531,0.325,1.639,17885,2709445.574
lander,NV,0.542,0.0,1.857,7828,3536570.188
lincoln,NV,0.586,0.0,1.513,5137,1646139.692
lyon,NV,0.686,0.428,1.211,34201,172992.576
mineral,NV,,0.0,1.347,3938,1136125.214
nye,NV,0.349,0.558,1.208,59871,296857.26
pershing,NV,0.295,0.0,1.534,12143,3281502.049
storey,NV,0.452,0.064,1.469,4881,714496.863
washoe,NV,0.717,0.916,1.189,191768,146899.145
white-pine,NV,0.537,0.385,1.464,7790,1738750.001
baker,OR,0.603,0.38,1.458,16337,195430.521
benton,OR,0.786,0.715,1.247,35322,1264.075
clackamas,OR,0.803,0.778,1.168,164316,2383.886
clatsop,OR,0.567,0.527,1.579,35453,914.973
columbia,OR,0.802,0.513,1.392,28695,2753.286
coos,OR,0.0,0.539,1.354,42374,2126.36
crook,OR,0.695,0.357,1.32,17521,329451.192
curry,OR,0.62,0.395,1.515,22113,11343.031
deschutes,OR,0.68,0.585,1.202,110743,116026.235
douglas,OR,0.722,0.503,1.589,71240,43055.492
gilliam,OR,0.549,0.0,2.252,3585,4798.755
grant,OR,0.484,0.0,1.551,8737,809465.992
harney,OR,0.509,0.348,1.89,10863,1633934.128
hood-river,OR,0.764,0.503,1.304,11710,11925.496
jackson,OR,0.771,0.738,1.247,103339,143909.997
jefferson,OR,0.888,0.264,1.385,13698,149357.901
josephine,OR,0.738,0.485,1.23,41718,1305.35
klamath,OR,0.5,0.352,1.411,61150,298602.779
lake,OR,0.31,0.0,1.443,18054,698255.266
lane,OR,0.739,0.741,1.244,158553,57465.763
lincoln,OR,0.485,0.667,1.404,44843,1564.394
linn,OR,0.792,0.584,1.248,53887,118435.155
malheur,OR,0.69,0.34,1.774,20429,1596595.365
marion,OR,0.791,0.793,1.184,114950,3693.624
morrow,OR,0.625,0.0,1.542,8421,1337.673
multnomah,OR,0.763,0.981,1.191,282162,1403.826
polk,OR,0.832,0.735,1.276,35020,583.608
sherman,OR,0.401,0.0,1.955,3579,2785.165
tillamook,OR,0.386,0.366,1.338,31317,7285.899
umatilla,OR,0.765,0.543,1.592,43990,19825.631
union,OR,0.787,0.457,1.368,14996,2839.172
wallowa,OR,0.496,0.0,1.514,9366,25355.996
wasco,OR,0.69,0.532,1.374,15482,19840.934
washington,OR,0.791,0.914,1.124,196440,105.016
wheeler,OR,0.522,0.0,1.838,2744,22657.561
yamhill,OR,0.771,0.626,1.254,44639,923.954
beaver,UT,0.596,0.0,1.736,8833,421.513
box-elder,UT,0.69,0.46,1.825,48760,58460.325
cache,UT,0.765,0.738,1.32,55586,283.555
carbon,UT,0.696,0.499,2.243,23764,28649.8
daggett,UT,0.214,0.0,1.762,3350,156.829
davis,UT,0.87,0.979,1.198,125699,95.93
duchesne,UT,0.346,0.104,1.636,32064,1190.826
emery,UT,0.542,0.0,2.328,17892,14964.589
garfield,UT,0.234,0.0,1.336,16949,251.497
grand,UT,0.633,0.671,1.354,7593,138.919
iron,UT,0.409,0.317,1.481,60571,784.509
juab,UT,0.0,0.17,1.021,17709,127.501
kane,UT,0.277,0.0,1.796,21405,689.738
millard,UT,0.0,0.0,1.712,17436,712.261
morgan,UT,0.805,0.0,1.553,8162,5615.05
piute,UT,0.0,0.0,1.847,3830,1238.149
rich,UT,0.19,0.0,1.834,11417,7474.46
salt-lake,UT,0.809,0.968,1.198,389359,184.629
san-juan,UT,0.406,0.0,1.629,11979,15522.1
sanpete,UT,0.288,0.035,1.671,12064,139.55
sevier,UT,0.657,0.252,1.628,19313,122.913
summit,UT,0.454,0.508,1.322,43063,492.605
tooele,UT,0.837,0.65,1.271,35214,512.979
uintah,UT,0.0,0.438,1.356,21490,735.577
utah,UT,0.79,0.879,1.348,268881,1674.075
wasatch,UT,0.469,0.414,1.311,31771,4005.465
washington,UT,0.601,0.76,1.275,118424,387.154
wayne,UT,0.17,0.0,1.196,4222,49.173
weber,UT,0.806,0.879,1.258,111581,463.519
adams,WA,0.654,0.314,1.609,12710,935.111
asotin,WA,0.809,0.846,1.523,13593,1202.611
benton,WA,0.821,0.821,1.172,77773,507.485
chelan,WA,0.0,0.521,1.286,48411,9274.38
clallam,WA,0.649,0.569,1.368,54386,1050.789
clark,WA,0.799,0.832,1.16,189452,42.412
columbia,WA,0.0,0.0,1.88,5439,937.364
cowlitz,WA,0.802,0.575,1.341,57132,7696.738
douglas,WA,0.642,0.527,1.471,29522,635.769
ferry,WA,0.0,0.0,1.349,12463,240.267
franklin,WA,0.0,0.828,1.209,33641,360.973
garfield,WA,0.578,0.0,2.106,4182,1282.925
grant,WA,0.695,0.441,1.496,57161,873.063
grays-harbor,WA,0.541,0.56,1.413,61753,3443.17
island,WA,0.695,0.424,1.224,52947,11.24
jefferson,WA,0.615,0.371,1.441,32628,2263.292
king,WA,0.768,0.94,1.099,632862,421.305
kitsap,WA,0.678,0.761,1.169,125978,74.253
kittitas,WA,0.552,0.347,1.598,39661,11372.072
klickitat,WA,0.562,0.146,1.532,21481,1605.39
lewis,WA,0.664,0.271,1.549,57477,4810.813
lincoln,WA,0.504,0.0,1.658,16718,676.99
mason,WA,0.569,0.188,1.488,60514,4214.656
okanogan,WA,0.423,0.097,1.777,56375,1098.354
pacific,WA,0.402,0.447,2.681,56838,1734.685
pend-oreille,WA,0.438,0.0,1.454,16810,253.866
pierce,WA,0.781,0.883,1.201,336152,58.105
san-juan,WA,0.536,0.118,1.34,17335,34.174
skagit,WA,0.65,0.521,1.474,82992,3098.913
skamania,WA,0.645,0.0,1.412,8149,27119.462
snohomish,WA,0.43,0.834,1.147,314185,5111.116
spokane,WA,0.758,0.794,1.212,212241,46.839
stevens,WA,0.571,0.067,1.557,43903,1824.855
thurston,WA,0.774,0.734,1.241,122776,512.257
wahkiakum,WA,0.639,0.0,1.553,4463,775.694
walla-walla,WA,0.798,0.703,1.456,30868,606.412
whatcom,WA,0.694,0.653,1.274,115838,219.979
whitman,WA,0.556,0.3,1.99,35061,501.652
yakima,WA,0.725,0.597,1.317,105122,1079.008
albany,WY,0.592,0.626,1.211,18158,1254.607
big-horn,WY,0.727,0.0,1.345,8412,3712.445
campbell,WY,0.703,0.631,1.145,20199,390.205
carbon,WY,0.603,0.343,1.272,12493,2494.931
converse,WY,0.757,0.352,1.387,9664,4694.228
crook,WY,0.59,0.0,1.396,6689,1357.086
fremont,WY,0.755,0.4,1.291,21869,6097.087
goshen,WY,0.71,0.422,1.33,8588,827.397
hot-springs,WY,0.758,0.0,2.447,7100,491.613
johnson,WY,0.742,0.435,1.241,6328,1084.056
laramie,WY,0.759,0.701,1.188,45915,210.931
lincoln,WY,0.374,0.0,1.501,30221,1352.894
natrona,WY,0.687,0.725,1.213,42679,250.145
niobrara,WY,0.452,0.0,1.423,3831,1939.432
park,WY,0.767,0.468,1.2,18049,425.573
platte,WY,0.631,0.0,1.247,7401,777.25
sheridan,WY,0.733,0.53,1.202,18392,385.583
sublette,WY,0.502,0.0,1.293,8637,7356.396
sweetwater,WY,0.754,0.713,1.583,27180,2143148.693
teton,WY,0.363,0.326,1.219,15941,268.107
uinta,WY,0.65,0.383,1.442,14746,2361.149
washakie,WY,0.793,0.578,1.246,5089,249.74
weston,WY,0.761,0.0,1.485,5799,3006.499
