county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
dupage,IL,0.913,0.997,1.169,2209176,27.835
edgar,IL,0.758,0.383,2.422,367778,155.095
edwards,IL,0.511,0.0,1.464,10205,65.164
effingham,IL,0.799,0.333,1.823,472431,10.819
fayette,IL,0.688,0.223,2.378,205204,58.791
ford,IL,0.705,0.243,1.582,31823,101.621
franklin,IL,0.746,0.357,1.761,120474,95.293
fulton,IL,0.758,0.279,1.754,114093,74.008
gallatin,IL,0.642,0.0,3.726,953102,33.489
greene,IL,0.679,0.0,1.979,166836,59.972
grundy,IL,0.849,0.667,1.481,398531,27.281
hamilton,IL,0.41,0.0,2.378,60511,192.236
hancock,IL,0.699,0.12,2.241,253299,67.79
hardin,IL,0.464,0.0,1.928,300062,33.451
henderson,IL,0.509,0.019,1.733,26331,95.887
henry,IL,0.853,0.452,1.63,621194,131.777
iroquois,IL,0.649,0.118,2.199,732222,110.037
jackson,IL,0.742,0.442,2.105,237862,90.671
jasper,IL,0.619,0.0,3.171,102491,66.854
jefferson,IL,0.73,0.336,1.959,214091,160.966
jersey,IL,0.96,0.387,1.568,41894,431.919
jo-daviess,IL,0.541,0.076,1.609,181908,100.492
johnson,IL,0.564,0.0,1.956,91697,178.095
kane,IL,0.888,0.932,1.276,2576284,32.414
kankakee,IL,0.831,0.602,1.661,1516333,13.387
kendall,IL,0.902,0.863,1.26,965853,18.84
knox,IL,0.743,0.522,1.655,407835,72.369
lake,IL,0.924,0.981,1.324,3997864,30.631
lasalle,IL,0.779,0.611,1.584,577962,122.087
lawrence,IL,0.721,0.276,2.407,102105,168.844
lee,IL,0.563,0.254,1.611,432776,109.089
livingston,IL,0.0,0.201,1.231,26961,48.008
logan,IL,0.0,0.382,1.243,19448,89.374
macon,IL,0.831,0.775,1.546,410878,34.116
macoupin,IL,0.791,0.293,1.85,391412,89.006
madison,IL,0.897,0.807,1.521,2650418,20.333
marion,IL,0.769,0.444,1.725,114737,47.582
marshall,IL,0.597,0.0,1.735,53272,207.506
mason,IL,0.643,0.0,2.524,468313,97.085
massac,IL,0.88,0.451,1.669,74855,42.782
mcdonough,IL,0.794,0.407,1.922,186502,135.035
mchenry,IL,0.895,0.837,1.377,2427373,42.024
mclean,IL,0.858,0.685,1.415,848071,113.913
menard,IL,0.755,0.0,2.181,192051,113.204
mercer,IL,0.703,0.0,1.825,185758,102.926
monroe,IL,0.883,0.523,1.5,90697,86.46
montgomery,IL,0.759,0.34,2.176,661260,26.814
morgan,IL,0.849,0.517,1.882,216672,111.421
moultrie,IL,0.504,0.226,1.781,59996,53.105
ogle,IL,0.817,0.251,1.619,479545,73.942
peoria,IL,0.856,0.786,1.534,2027442,27.296
perry,IL,0.729,0.259,1.834,696832,39.56
piatt,IL,0.768,0.29,1.708,218976,184.465
pike,IL,0.637,0.0,2.736,363248,109.514
pope,IL,0.475,0.0,2.611,31528,195.403
pulaski,IL,0.566,0.0,2.287,164565,112.184
putnam,IL,0.48,0.0,1.803,62104,44.451
randolph,IL,0.755,0.135,2.241,466674,224.692
richland,IL,0.797,0.421,2.135,113620,40.327
rock-island,IL,0.885,0.849,1.442,709692,42.262
saline,IL,0.679,0.279,1.83,1107202,16.882
sangamon,IL,0.852,0.766,1.724,1489768,46.882
schuyler,IL,0.573,0.0,2.349,72005,124.558
scott,IL,0.643,0.0,2.353,32379,88.825
shelby,IL,0.732,0.187,2.036,185601,111.629
st-clair,IL,0.846,0.827,1.762,2380915,22.998
stark,IL,0.659,0.0,2.115,58647,121.58
stephenson,IL,0.825,0.441,1.58,328169,21.314
tazewell,IL,0.898,0.745,1.383,564188,32.901
union,IL,0.795,0.293,1.78,127630,154.986
vermilion,IL,0.803,0.526,2.074,1568275,138.125
wabash,IL,0.8,0.497,2.323,150017,41.09
warren,IL,0.776,0.418,2.09,182109,87.535
washington,IL,0.626,0.007,2.815,141453,63.686
wayne,IL,0.664,0.231,2.67,167728,116.342
white,IL,0.704,0.278,3.505,672389,42.282
whiteside,IL,0.874,0.511,1.766,368984,123.145
will,IL,0.91,0.936,1.44,7248901,85.114
williamson,IL,0.785,0.52,2.031,294798,64.566
winnebago,IL,0.867,0.871,1.443,1264711,32.947
woodford,IL,0.834,0.238,1.756,234886,116.153
adams,IN,0.85,0.319,1.743,207245,55.536
allen,IN,0.904,0.831,1.414,2807572,24.169
bartholomew,IN,0.871,0.602,1.494,1240395,39.509
benton,IN,0.692,0.0,1.882,71329,113.323
blackford,IN,0.814,0.457,1.666,185249,24.525
boone,IN,0.816,0.631,1.567,985604,29.334
brown,IN,0.572,0.0,1.562,210790,138.496
carroll,IN,0.725,0.107,2.406,722783,58.773
cass,IN,0.832,0.442,1.924,1059238,52.3
clark,IN,0.853,0.73,1.467,1208110,35.409
clay,IN,0.787,0.317,2.164,662213,48.279
clinton,IN,0.647,0.408,1.742,820577,55.461
crawford,IN,0.395,0.0,1.532,241225,61.893
daviess,IN,0.831,0.337,2.056,1291189,56.809
dearborn,IN,0.853,0.365,1.691,220887,16.04
decatur,IN,0.822,0.39,1.849,174240,40.726
dekalb,IN,0.735,0.385,1.862,792231,48.22
delaware,IN,0.805,0.703,1.655,1658076,38.91
dubois,IN,0.866,0.432,2.294,750154,87.3
elkhart,IN,0.892,0.74,1.515,970912,24.801
fayette,IN,0.89,0.55,1.714,153646,32.069
floyd,IN,0.858,0.615,1.609,984732,34.065
fountain,IN,0.731,0.0,1.899,151417,76.197
franklin,IN,0.723,0.088,1.779,199174,40.907
fulton,IN,0.479,0.32,1.599,95046,53.78
gibson,IN,0.8,0.202,1.662,291068,100.9
grant,IN,0.809,0.578,1.643,513150,36.034
greene,IN,0.753,0.138,1.808,764497,53.181
hamilton,IN,0.913,0.893,1.273,4787297,6.276
hancock,IN,0.886,0.676,1.637,2208751,12.961
harrison,IN,0.802,0.094,1.706,272772,36.526
hendricks,IN,0.881,0.797,1.435,3742039,11.803
henry,IN,0.835,0.348,1.655,1160574,48.32
