county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
perry,AR,0.643,0.0,2.064,299643,413.143
phillips,AR,0.534,0.422,2.767,201706,325.612
pike,AR,0.598,0.0,2.296,1883870,875.586
poinsett,AR,0.721,0.26,2.512,409738,101.264
polk,AR,0.686,0.245,2.071,672182,2325.72
pope,AR,0.772,0.343,1.719,603680,555.285
prairie,AR,0.581,0.0,2.404,236251,347.137
pulaski,AR,0.821,0.838,1.575,4455180,81.747
randolph,AR,0.684,0.251,2.276,111235,73.274
saline,AR,0.725,0.566,1.591,1817311,230.172
scott,AR,0.69,0.0,2.678,479589,3969.153
searcy,AR,0.526,0.0,2.526,200084,800.713
sebastian,AR,0.791,0.727,1.529,662442,118.851
sevier,AR,0.731,0.231,2.084,379453,766.051
sharp,AR,0.284,0.0,2.364,1051495,36.908
st-francis,AR,0.616,0.357,2.648,607665,248.218
stone,AR,0.602,0.0,2.333,422544,173.031
union,AR,0.657,0.361,2.266,2634378,753.754
van-buren,AR,0.37,0.0,2.353,694490,203.075
washington,AR,0.782,0.618,1.744,5233123,29.485
white,AR,0.735,0.341,1.721,503428,535.593
woodruff,AR,0.564,0.0,2.702,91752,1933.518
yell,AR,0.654,0.134,2.604,374520,3504.863
district-of-columbia,DC,0.78,1.0,1.375,1625078,16.61
alachua,FL,0.756,0.628,1.56,2506218,508.659
baker,FL,0.807,0.369,1.476,716336,1139.632
bay,FL,,0.813,1.465,1997137,431.352
bradford,FL,0.732,0.289,1.5,287614,1009.554
brevard,FL,0.771,0.909,1.351,28751535,45.489
broward,FL,0.789,1.0,1.277,45172406,53.874
calhoun,FL,0.558,0.0,1.74,401042,970.03
charlotte,FL,,0.88,1.528,8179772,285.658
citrus,FL,0.571,0.711,1.481,6380673,143.727
clay,FL,0.845,0.777,1.369,65207603,2.171
collier,FL,0.609,0.86,1.714,61975738,1101.076
columbia,FL,0.694,0.302,1.418,602093,937.43
desoto,FL,0.644,0.458,1.809,548481,811.483
dixie,FL,0.483,0.0,1.472,375795,798.864
duval,FL,0.849,0.953,1.398,167191373,2.957
escambia,FL,0.747,0.908,1.429,4205164,76.624
flagler,FL,0.706,0.874,1.366,2347312,232.825
franklin,FL,0.326,0.0,1.603,3130629,978.635
gadsden,FL,0.668,0.147,1.559,456494,385.921
gilchrist,FL,0.601,0.0,1.552,188867,535.0
glades,FL,0.492,0.188,1.778,582656,1767.585
gulf,FL,0.417,0.0,1.534,280283,1812.811
hamilton,FL,0.476,0.0,2.004,373374,890.332
hardee,FL,0.684,0.285,1.89,146260,1823.608
hendry,FL,0.44,0.31,1.69,1304273,359.203
hernando,FL,0.748,0.722,1.332,713396,142.336
highlands,FL,0.428,0.659,1.657,8029204,801.733
hillsborough,FL,0.861,0.947,1.337,193239567,5.857
holmes,FL,0.656,0.0,1.681,466476,654.104
indian-river,FL,0.741,0.928,1.282,2219184,55.932
jackson,FL,0.503,0.08,1.804,642188,533.995
jefferson,FL,0.582,0.0,1.784,401893,819.935
lafayette,FL,0.525,0.0,1.961,131377,1817.887
lake,FL,,0.748,1.364,51638235,29.339
lee,FL,0.577,0.922,1.381,31528137,39.517
leon,FL,0.786,0.804,1.399,1991803,406.063
levy,FL,0.489,0.0,1.569,1585832,873.625
liberty,FL,0.597,0.0,2.084,532688,1651.761
madison,FL,0.517,0.0,1.76,162244,514.237
manatee,FL,,0.906,1.33,37470229,6.27
marion,FL,0.639,0.603,1.422,17331138,139.649
martin,FL,0.756,0.911,1.363,4115216,235.654
miami-dade,FL,0.801,0.988,1.36,31225299,494.979
monroe,FL,0.475,0.818,2.066,7292980,1887.969
nassau,FL,0.796,0.583,1.379,7236643,63.981
okaloosa,FL,0.692,0.861,1.37,1370465,314.92
okeechobee,FL,0.468,0.458,1.491,714653,697.375
orange,FL,0.823,0.939,1.401,133596842,8.988
osceola,FL,,0.827,1.458,72773060,9.889
palm-beach,FL,0.791,0.982,1.29,53956296,19.908
pasco,FL,,0.89,1.395,85045326,7.496
pinellas,FL,0.78,0.998,1.245,28475645,15.795
polk,FL,0.684,0.745,1.495,81619721,26.173
putnam,FL,,0.114,1.795,4235126,406.499
santa-rosa,FL,,0.75,1.421,3180277,512.287
sarasota,FL,0.657,0.944,1.301,27549078,11.291
seminole,FL,,0.953,1.344,29450261,14.938
st-johns,FL,,0.781,1.758,39823685,18.037
st-lucie,FL,,0.933,1.327,20875217,74.65
sumter,FL,0.703,0.736,1.185,1121938,463.053
suwannee,FL,0.597,0.092,1.507,348765,412.269
taylor,FL,0.518,0.205,1.626,651438,1473.478
union,FL,0.001,0.0,1.779,459234,797.035
volusia,FL,0.743,0.85,1.361,25094530,41.139
wakulla,FL,,0.256,1.512,241974,1625.696
walton,FL,0.43,0.551,1.513,1528528,559.697
washington,FL,0.381,0.0,2.276,393719,683.906
appling,GA,0.666,0.234,1.714,76430,443.552
atkinson,GA,0.681,0.0,2.084,53328,772.043
bacon,GA,0.757,0.0,1.749,66968,682.342
baker,GA,0.534,0.0,1.785,20886,356.256
baldwin,GA,0.718,0.343,1.529,278011,226.644
banks,GA,0.703,0.039,1.454,79802,23.044
barrow,GA,0.862,0.632,1.254,8218927,1.556
bartow,GA,0.805,0.535,1.395,15113010,1.369
ben-hill,GA,0.76,0.547,1.961,190452,135.279
berrien,GA,0.751,0.211,1.782,60447,214.817
bibb,GA,0.694,0.813,1.499,732476,19.406
bleckley,GA,0.742,0.367,1.587,43526,336.826
brantley,GA,0.644,0.005,1.734,221730,591.419
brooks,GA,0.519,0.0,1.655,61436,244.041
bryan,GA,0.962,0.427,1.266,50918,103.299
bulloch,GA,0.72,0.321,1.667,242227,94.685
burke,GA,0.638,0.141,1.724,99265,182.332
butts,GA,0.762,0.182,1.46,272623,13.861
calhoun,GA,0.593,0.0,1.785,43343,111.92
camden,GA,0.677,0.555,1.485,434438,224.161
candler,GA,0.7,0.0,1.854,43080,97.658
